"pop_avg_misseg_rate","pop_avg_death_rate","beta","mu","B(i,beta)","D(i,mu)","maxchrom"
0.201609159683585,0.904581450777092,0.12,0.904581450777092," B(i)==beta"," D(i)==mu"," 4"
0.216960120706218,0.896060346458865,0.13,0.896060346458865," B(i)==beta"," D(i)==mu"," 4"
0.232111740835098,0.887449262226143,0.14,0.887449262226143," B(i)==beta"," D(i)==mu"," 4"
0.247068422176437,0.878749102782361,0.15,0.878749102782361," B(i)==beta"," D(i)==mu"," 4"
0.261834406950389,0.869958217703858,0.16,0.869958217703858," B(i)==beta"," D(i)==mu"," 4"
0.276413782986906,0.861077731832234,0.17,0.861077731832234," B(i)==beta"," D(i)==mu"," 4"
0.290810488910874,0.852105864333195,0.18,0.852105864333195," B(i)==beta"," D(i)==mu"," 4"
0.305028319031682,0.843042482545606,0.19,0.843042482545607," B(i)==beta"," D(i)==mu"," 4"
0.319070927951395,0.83388715226737,0.2,0.83388715226737," B(i)==beta"," D(i)==mu"," 4"
0.332941834904738,0.824639748345069,0.21,0.824639748345069," B(i)==beta"," D(i)==mu"," 4"
0.346644427843245,0.815298992143042,0.22,0.815298992143042," B(i)==beta"," D(i)==mu"," 4"
0.360181967275095,0.805864872334956,0.23,0.805864872334956," B(i)==beta"," D(i)==mu"," 4"
0.373557589871444,0.796336843026899,0.24,0.796336843026899," B(i)==beta"," D(i)==mu"," 4"
0.38677431184934,0.786713703721742,0.25,0.786713703721742," B(i)==beta"," D(i)==mu"," 4"
0.399835032140731,0.776995719290416,0.26,0.776995719290416," B(i)==beta"," D(i)==mu"," 4"
0.412742535356445,0.767181894609601,0.27,0.767181894609601," B(i)==beta"," D(i)==mu"," 4"
0.425499494553543,0.757270991956725,0.28,0.757270991956725," B(i)==beta"," D(i)==mu"," 4"
0.438108473813953,0.74726250442755,0.29,0.74726250442755," B(i)==beta"," D(i)==mu"," 4"
0.450571930641868,0.737155973138198,0.3,0.737155973138198," B(i)==beta"," D(i)==mu"," 4"
0.462892218187026,0.726951209443618,0.31,0.726951209443618," B(i)==beta"," D(i)==mu"," 4"
0.475071587300655,0.716646090029804,0.32,0.716646090029804," B(i)==beta"," D(i)==mu"," 4"
0.487112188430559,0.70624046593805,0.33,0.70624046593805," B(i)==beta"," D(i)==mu"," 4"
0.499016073361623,0.695733395016841,0.34,0.695733395016841," B(i)==beta"," D(i)==mu"," 4"
0.510785196807786,0.68512334860434,0.35,0.68512334860434," B(i)==beta"," D(i)==mu"," 4"
0.522421417861379,0.674410508807165,0.36,0.674410508807165," B(i)==beta"," D(i)==mu"," 4"
0.533926501305646,0.663592734519877,0.37,0.663592734519877," B(i)==beta"," D(i)==mu"," 4"
0.545302118796161,0.652669357977224,0.38,0.652669357977224," B(i)==beta"," D(i)==mu"," 4"
0.556549849916866,0.641639047204096,0.39,0.641639047204096," B(i)==beta"," D(i)==mu"," 4"
0.567671183116457,0.630501083885492,0.4,0.630501083885492," B(i)==beta"," D(i)==mu"," 4"
0.578667516530892,0.619253934415774,0.41,0.619253934415774," B(i)==beta"," D(i)==mu"," 4"
0.589540158697924,0.607895699049348,0.42,0.607895699049348," B(i)==beta"," D(i)==mu"," 4"
0.600290329169657,0.596425296750342,0.43,0.596425296750343," B(i)==beta"," D(i)==mu"," 4"
0.610919159029316,0.584841350800779,0.44,0.584841350800779," B(i)==beta"," D(i)==mu"," 4"
0.621427691318564,0.573142443987897,0.45,0.573142443987897," B(i)==beta"," D(i)==mu"," 4"
0.631816881381965,0.561326373666087,0.46,0.561326373666087," B(i)==beta"," D(i)==mu"," 4"
0.642087597135335,0.549391460345799,0.47,0.549391460345799," B(i)==beta"," D(i)==mu"," 4"
0.652240619264968,0.537335713446428,0.48,0.537335713446428," B(i)==beta"," D(i)==mu"," 4"
0.662276641364901,0.525157239094155,0.49,0.525157239094155," B(i)==beta"," D(i)==mu"," 4"
0.672196270019501,0.512853816186072,0.5,0.512853816186072," B(i)==beta"," D(i)==mu"," 4"
0.682000024838764,0.500423120884391,0.51,0.500423120884391," B(i)==beta"," D(i)==mu"," 4"
0.691688338453645,0.487862216521143,0.52,0.487862216521143," B(i)==beta"," D(i)==mu"," 4"
0.701261556478633,0.475168758322204,0.53,0.475168758322204," B(i)==beta"," D(i)==mu"," 4"
0.710719937448369,0.462339337864366,0.54,0.462339337864366," B(i)==beta"," D(i)==mu"," 4"
0.720063652734588,0.449371433460792,0.55,0.449371433460792," B(i)==beta"," D(i)==mu"," 4"
0.729292786448702,0.436261157724777,0.56,0.436261157724777," B(i)==beta"," D(i)==mu"," 4"
0.738407335334112,0.423004404619258,0.57,0.423004404619258," B(i)==beta"," D(i)==mu"," 4"
0.747407208650516,0.409597931360726,0.58,0.409597931360726," B(i)==beta"," D(i)==mu"," 4"
0.756292228050128,0.396037156414492,0.59,0.396037156414492," B(i)==beta"," D(i)==mu"," 4"
0.765062127442569,0.382316911510065,0.6,0.382316911510065," B(i)==beta"," D(i)==mu"," 4"
0.773716552841201,0.368432347297022,0.61,0.368432347297022," B(i)==beta"," D(i)==mu"," 4"
0.782255062178508,0.354377685124973,0.62,0.354377685124973," B(i)==beta"," D(i)==mu"," 4"
